account_id,conversion_probability,action,reasons,next_step
ACC-01491,0.20939284337910957,FOLLOW_UP,"['Ranked highly by the conversion model (20.94%)', '1 MQL(s) in the last 90 days', 'Trial started with 3 active user(s)', '5 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-00371,0.20447911195127122,FOLLOW_UP,"['Ranked highly by the conversion model (20.45%)', '4 MQL(s) in the last 90 days', 'Trial started with 2 active user(s)', '8 web touchpoint(s) in the last 90 days', '2 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-01064,0.18692811910966461,FOLLOW_UP,"['Ranked highly by the conversion model (18.69%)', '1 MQL(s) in the last 90 days', 'Trial started with 1 active user(s)', '5 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-01283,0.17568190948014833,FOLLOW_UP,"['Ranked highly by the conversion model (17.57%)', '3 web touchpoint(s) in the last 90 days', '4 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-01111,0.15271838779534944,FOLLOW_UP,"['Ranked highly by the conversion model (15.27%)', 'Trial started with 2 active user(s)', '4 web touchpoint(s) in the last 90 days', '3 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-00400,0.1521825408659366,FOLLOW_UP,"['Ranked highly by the conversion model (15.22%)', '1 MQL(s) in the last 90 days', '4 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-00646,0.14821040002222632,FOLLOW_UP,"['Ranked highly by the conversion model (14.82%)', '2 MQL(s) in the last 90 days', '3 web touchpoint(s) in the last 90 days', '6 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-00122,0.14821040002222632,FOLLOW_UP,"['Ranked highly by the conversion model (14.82%)', '5 web touchpoint(s) in the last 90 days', '6 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-00657,0.1438323978781758,PRIORITIZE_OUTREACH,"['Ranked highly by the conversion model (14.38%)', '4 MQL(s) in the last 90 days', '8 web touchpoint(s) in the last 90 days', 'No recorded sales contacts in the last 90 days']",Initiate sales outreach while recent engagement signals are present.
ACC-00232,0.14083021469325982,FOLLOW_UP,"['Ranked highly by the conversion model (14.08%)', '1 MQL(s) in the last 90 days', 'Trial started with 3 active user(s)', '1 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-00065,0.13663723152019602,FOLLOW_UP,"['Ranked highly by the conversion model (13.66%)', 'Trial started with 0 active user(s)', '13 web touchpoint(s) in the last 90 days', '1 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-00966,0.13351038899325318,PRIORITIZE_OUTREACH,"['Ranked highly by the conversion model (13.35%)', '4 MQL(s) in the last 90 days', '8 web touchpoint(s) in the last 90 days', 'No recorded sales contacts in the last 90 days']",Initiate sales outreach while recent engagement signals are present.
ACC-00205,0.12890521444477065,FOLLOW_UP,"['Ranked highly by the conversion model (12.89%)', '2 MQL(s) in the last 90 days', '5 web touchpoint(s) in the last 90 days', '1 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-00265,0.1221454673454665,FOLLOW_UP,"['Ranked highly by the conversion model (12.21%)', 'Trial started with 0 active user(s)', '5 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-00533,0.12194066100490668,PRIORITIZE_OUTREACH,"['Ranked highly by the conversion model (12.19%)', '1 MQL(s) in the last 90 days', '7 web touchpoint(s) in the last 90 days', 'No recorded sales contacts in the last 90 days']",Initiate sales outreach while recent engagement signals are present.
ACC-00146,0.1216575438564018,FOLLOW_UP,"['Ranked highly by the conversion model (12.17%)', 'Trial started with 0 active user(s)', '3 web touchpoint(s) in the last 90 days', '5 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-01382,0.11601435870713352,FOLLOW_UP,"['Ranked highly by the conversion model (11.60%)', '2 web touchpoint(s) in the last 90 days', '4 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-01019,0.11588595292577854,FOLLOW_UP,"['Ranked highly by the conversion model (11.59%)', '5 MQL(s) in the last 90 days', '4 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-01155,0.11569926762188526,FOLLOW_UP,"['Ranked highly by the conversion model (11.57%)', '4 MQL(s) in the last 90 days', '1 web touchpoint(s) in the last 90 days', '7 sales contact(s) in the last 90 days']",Continue the existing sales motion using the account's recent engagement context.
ACC-00728,0.11565648147974573,PRIORITIZE_OUTREACH,"['Ranked highly by the conversion model (11.57%)', '10 web touchpoint(s) in the last 90 days', 'No recorded sales contacts in the last 90 days']",Initiate sales outreach while recent engagement signals are present.
